date,site,time,time_quadrant,temperature_f,temperature_c,cloud_cover,wind_speed,beaufort_scale,rain,tidal_height,tide,people_passing,bird_people_nest,car_passing,robin,spotted_towhee,finch,sparrow,barn_swallow,junco,total_time_out_nest,total_time_in_nest,,,,,
28-Jun,A,559,1,54,12.22,overcast,0,0,0,1.21,HIGH,3,0,0,1,1,1,1,0,0,1188,12,,,,,
28-Jun,A,559,1,54,12.22,overcast,0,0,0,1.21,HIGH,3,0,0,1,1,1,1,0,0,1189,11,,,,,
28-Jun,A,559,1,54,12.22,overcast,0,0,0,1.21,HIGH,3,0,0,1,1,1,1,0,0,1005,195,,,,,
28-Jun,A,1634,2,70,21.11,partly_cloudy,4,2,0,0.56,LOW,16,3,0,1,1,1,1,0,0,1163,36,,,,,
28-Jun,A,1634,2,70,21.11,partly_cloudy,4,2,0,0.56,LOW,16,3,0,1,1,1,1,0,0,1170,30,,,,,
28-Jun,A,1634,2,70,21.11,partly_cloudy,4,2,0,0.56,LOW,16,3,0,1,1,1,1,0,0,1171,29,,,,,
28-Jun,B,1739,3,70,21.11,partly_cloudy,4,2,0,0.85,LOW,6,1,2,0,0,0,0,0,0,1179,21,,,,,
28-Jun,B,1739,3,70,21.11,partly_cloudy,4,2,0,0.85,LOW,6,1,2,0,0,0,0,0,0,838,19,,,,,
29-Jun,C,622,1,54,12.22,partly_cloudy,3,1,0,0.74,LOW,0,0,0,1,0,1,0,1,1,1194,6,,,,,
29-Jun,C,622,1,54,12.22,partly_cloudy,3,1,0,0.74,LOW,0,0,0,1,0,1,0,1,1,1197,3,,,,,
29-Jun,C,622,1,54,12.22,partly_cloudy,3,1,0,0.74,LOW,0,0,0,1,0,1,0,1,1,1195,5,,,,,
29-Jun,B,750,1,57,13.89,partly_cloudy,0,0,0,0.72,LOW,10,0,3,1,0,0,0,0,1,1380,43,,,,,
29-Jun,B,750,1,57,13.89,partly_cloudy,0,0,0,0.72,LOW,10,0,3,1,0,0,0,0,1,1015,185,,,,,
29-Jun,B,750,1,57,13.89,partly_cloudy,0,0,0,0.72,LOW,10,0,3,1,0,0,0,0,1,1276,94,,,,,
