"","Dimension","Value","total_time_out_nest","total_time_in_nest"
"1","1","Residuals","-17.7199817750964","17.7199817750964"
"2","1","p values","0*","0*"
"3","2","Residuals","10.5252618746394","-10.5252618746394"
"4","2","p values","0*","0*"
"5","3","Residuals","-1.94873660881575","1.94873660881573"
"6","3","p values","0.5133","0.5133"
"7","4","Residuals","5.81119005964742","-5.81119005964741"
"8","4","p values","0*","0*"
"9","5","Residuals","9.15218420845731","-9.15218420845729"
"10","5","p values","0*","0*"
